banco;moneda_total;fecha;metrica;delta_aa;delta_ma;moneda_total_1_month_ago;moneda_total_12_months_ago;moneda_total_24_months_ago;moneda_total_36_months_ago;ms_moneda_total;ms_delta_aa;ms_delta_ma;ms_moneda_total_1_month_ago;ms_moneda_total_12_months_ago;ms_moneda_total_24_months_ago;ms_moneda_total_36_months_ago;fecha_date
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201601;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-01-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201602;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-02-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201603;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-03-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201604;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-04-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201605;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-05-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201606;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-06-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201607;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-07-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201608;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-08-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201609;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-09-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201610;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-10-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201611;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-11-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201612;ctra_consumo_ndet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-12-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201601;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-01-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201602;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-02-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201603;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-03-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201604;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-04-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201605;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-05-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201606;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-06-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201607;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-07-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201608;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-08-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201609;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-09-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201610;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-10-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201611;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-11-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201612;ctra_consumo_total;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-12-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201601;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-01-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201602;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-02-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201603;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-03-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201604;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-04-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201605;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-05-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201606;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-06-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201607;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-07-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201608;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-08-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201609;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-09-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201610;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-10-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201611;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-11-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201612;ctra_consumo_tarjetas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-12-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201601;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-01-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201602;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-02-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201603;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-03-01
THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;0.0;201604;ctra_consumo_cuotas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2016-04-01
